"id","Presentation_Overall","Visual_Overall","Content_Overall","Organization_Overall","Rating_Overall"
"5S886P0775",2.79761904761905,2.81944444444444,2.8,2.84722222222222,6.33333333333333
"4S047S5P72",2.60952380952381,2.91111111111111,2.69333333333333,2.77777777777778,5.86666666666667
"6936SP8521",2.55714285714286,2.76666666666667,2.66,2.8,6.3
"82YY2455P4",2.6,2.7,2.84,2.81666666666667,6.4
"323504S9S0",2.42857142857143,2.64102564102564,2.47692307692308,2.61538461538462,6.07692307692308
"6P54355364",2.57142857142857,2.46969696969697,2.63636363636364,2.60606060606061,6
"61219200Y6",2.79220779220779,2.83333333333333,2.85454545454545,2.78787878787879,6.45454545454545
"924Y6142P0",2.58163265306122,2.64285714285714,2.74285714285714,2.69047619047619,5.85714285714286
"96SY0P7884",2.76190476190476,2.83333333333333,2.75,2.875,6.33333333333333
"5SY24Y1365",2.83516483516484,2.8974358974359,2.90769230769231,2.91025641025641,6.53846153846154
"520751P26S",2.65714285714286,2.77777777777778,2.70666666666667,2.74444444444444,5.86666666666667
"3656P075P2",2.24285714285714,2.63333333333333,2.68,2.6,5.7
"5032575693",2.57142857142857,2.81666666666667,2.9,2.91666666666667,6.3
"411P694795",2.74725274725275,2.8974358974359,2.81538461538462,2.93589743589744,6.07692307692308
"5YY917984P",2.38961038961039,2.51515151515152,2.52727272727273,2.59090909090909,5.54545454545455
"PY3Y20P902",2.63636363636364,2.81818181818182,2.76363636363636,2.8030303030303,6.18181818181818
"PY231239Y6",2.84285714285714,2.73333333333333,2.7,2.78333333333333,6.7
"Y139S30PSP",2.75824175824176,2.79487179487179,2.92307692307692,2.87179487179487,6.46153846153846
"P10S8P7714",2.59340659340659,2.57692307692308,2.53846153846154,2.67948717948718,6.07692307692308
"Y49742P0P2",2.54545454545455,2.87878787878788,2.8,2.83333333333333,6.18181818181818
"13P15P5S5P",2.71428571428571,2.92222222222222,2.89333333333333,2.93333333333333,6.4
"8SS776Y652",2.96825396825397,2.94444444444444,2.95555555555556,3,6.88888888888889
"2077355S46",2.25,2.41666666666667,2.3875,2.35416666666667,5.0625
"04Y8652401",2.57142857142857,2.83333333333333,3,3,6
"81590P0883",2.85714285714286,2.89393939393939,2.83636363636364,2.89393939393939,6.63636363636364
"PS2519Y38S",2.71428571428571,2.9,2.82,2.85,6.4
"8968Y47306",2.38961038961039,2.54545454545455,2.43636363636364,2.53030303030303,5.45454545454545
"998SPP3801",2.80952380952381,2.92222222222222,2.94666666666667,2.9,6.46666666666667
"51637Y9219",2.5952380952381,2.77777777777778,2.86666666666667,2.76388888888889,6.08333333333333
"1179S3P2P4",2.51648351648352,2.82051282051282,2.61538461538462,2.76923076923077,5.46153846153846
"6101438200",2.33928571428571,2.63541666666667,2.45,2.57291666666667,5.4375
"S5P1P29611",2.85714285714286,2.875,2.98333333333333,2.97222222222222,6.58333333333333
"81P7710482",2.73626373626374,2.87179487179487,2.90769230769231,2.87179487179487,6.23076923076923
"0Y7868SP8Y",2.6547619047619,2.625,2.78333333333333,2.72222222222222,5.91666666666667
"87P1441S62",2.14285714285714,2.65277777777778,2.28333333333333,2.59722222222222,5.25
"9Y84105054",2.76530612244898,2.58333333333333,2.82857142857143,2.73809523809524,6
