"","Presentation_Overall","Visual_Overall","Content_Overall","Organization_Overall","Rating_Overall","id"
"1","87.8%","95.49%","95.83%","92.36%","81.25%","GDpEHNDJzw"
"2","84.52%","90.28%","91.67%","90.28%","85.71%","nWNADk9ugy"
"3","88.36%","90.43%","95.56%","93.83%","83.33%","RwBMyQiMZZ"
"4","90.14%","98.41%","94.29%","95.24%","86.73%","rTJ3Dy9hPw"
"5","94.05%","98.61%","97.5%","98.61%","94.64%","3hjpe4RlrV"
"6","90.95%","94.44%","96%","95%","91.43%","IEiwH3We5A"
"7","82.44%","87.85%","91.67%","89.24%","78.57%","ETqrDAlVIY"
"8","87.62%","92.22%","93.33%","91.11%","85.71%","aJRttMi0sG"
"9","80.95%","88.46%","94.36%","88.03%","78.02%","kZZcIQoHLF"
"10","94.97%","97.53%","98.89%","97.22%","90.48%","dPHvdqgcsR"
"11","93.25%","99.07%","98.89%","98.61%","92.86%","g1Rtt8EjlP"
"12","92.7%","96.67%","96.44%","95.19%","86.67%","XyWc3fGn8Z"
"13","98.64%","88.89%","100%","100%","93.88%","KAkVrFLYdY"
"14","92.06%","97.53%","99.26%","100%","93.65%","GpZb6stGJm"
"15","97.28%","93.65%","96.19%","96.03%","91.84%","exkWocbF06"
"16","87.14%","89.44%","94%","93.33%","85.71%","mPOQErRbY9"
"17","84.52%","89.58%","89.17%","88.89%","85.71%","HBZJ0lmSg1"
"18","87.11%","97.06%","94.51%","92.81%","78.99%","EPjG7PI6cv"
"19","87.5%","95.83%","98.33%","97.22%","89.29%","LoL4ELFn1y"
"20","99.6%","99.54%","99.44%","100%","100%","6nevBvt0XE"
"21","93.88%","97.62%","98.1%","96.03%","95.92%","3jwEXVwBQp"
"22","84.52%","96.53%","100%","95.14%","87.5%","s6tltulSfJ"
"23","94.81%","96.46%","95.15%","95.45%","88.31%","5uhSt17KRQ"
"24","96.3%","96.91%","98.52%","98.15%","96.83%","zueLL8HMon"
"25","87.62%","97.41%","96.89%","93.33%","82.86%","e4eiIRRall"
"26","85.71%","86.11%","92.5%","95.14%","91.07%","iT5lpWQph9"
"27","96.83%","98.15%","95.56%","97.53%","93.65%","7JygK3CXb3"
"28","85.35%","92.74%","92.82%","90.6%","82.42%","Xqyf1Xy8LX"
"29","86.31%","86.81%","90.83%","90.28%","89.29%","SWNO9DEL6c"
"30","81.35%","93.06%","91.11%","90.28%","80.95%","15SLlrVlGJ"
"31","92.31%","94.87%","96.41%","98.29%","90.11%","l8oRJ4JYsx"
"32","76.98%","91.2%","88.89%","90.28%","77.38%","4oFRP4bTNU"
"33","84.92%","86.11%","87.78%","87.04%","90.48%","y3Ni6hx8Bi"
"34","88.1%","89.68%","95.24%","92.46%","85.71%","aWISIFgpi4"
"35","87.04%","95.99%","97.78%","96.91%","88.1%","1TIimBLXtk"
"36","86.9%","90.97%","95.83%","89.58%","91.07%","s8quF49lSv"
"37","96.03%","96.76%","98.33%","96.76%","89.29%","hBVMoK2gvb"
"38","82.74%","90.97%","89.17%","91.67%","87.5%","Y1njas5nao"
"39","97.22%","98.15%","97.78%","98.15%","97.62%","CojfbOWOUM"
"40","80.69%","90.74%","96.67%","93.52%","77.78%","zfazKvZjq7"
"41","80.95%","93.65%","93.33%","98.41%","89.8%","t6Dgiw4ODl"
"42","91.32%","98.37%","99.61%","95.42%","85.71%","gTQE7WVaCK"
"43","97.28%","92.86%","98.1%","95.24%","93.88%","P9iaT6SYwd"
"44","94.9%","98.81%","100%","99.21%","91.84%","Cx4cH7zrul"
"45","97.02%","95.14%","100%","98.61%","94.64%","2eLlvsR7Fj"
