"","id","Comments_all"
"1","GDpEHNDJzw","Very descriptive, good presentation! | Overall she had a good presentation, she was knowledgeable and did make eye contact with the class. Her presentation wasn't very creative but was good with not having a lot of text on slides.  | For the people that didn't do research, this presentation was a bit word loaded and context was missing, also this was very similar to last semester's presentation. | Very good presentation, seemed very into the research and conveyed it very well | voice was good maybe a little bit louder. It was very well explain the researcher. very knowledgeable on the researcher.  | It seems like she improved since last semester as far as interest-wise. Interesting points made about her research."
"2","RwBMyQiMZZ","Very passionate about internship project, and very knowledgeable on the senior project. She included all the different required sections. | interesting | Super passionate about topic, and it shows! | Very informational | The presenter was very interested in what they did for researcher. They did a good job at explaining what task of the researcher.  | Interesting topic because of an underrated topic of interest. She seems passionate and determined to continue to explore this topic in her future career."
"3","rTJ3Dy9hPw","Her theme was very creative and went along with the company's logo and was overall a great presentation! | Good presentation. Wasn't totally reliant on slides. Could have gone into more detail on some of the slides. Video was a little long. | good presentation and interesting to learn about. | I like how she add a video as an example for what she did for her internship "
"4","3hjpe4RlrV","Brandon was great. Very clear voice and interactive with students."
"5","ETqrDAlVIY","I couldn't hear her and she read directly off the slides. She didn't explain the graphics. and didn't seem very prepared. The slides were very wordy. She didn't really explain her major learnings in detail.   | It was really hard to hear and the format was very basic with minimal graphics and pictures, not practiced, and seemed to be put together last minute with lots of words and no contextual information on the slides. She also didn't have 4 major learning experiences, only 3.  | She explained how there was more improvement in responsibility. | Even through there was no possible way of show what the work that she did at the internship. She did a good job explaining on what she did at her internship.   | Good presentation just a lot of text on slides. "
"6","aJRttMi0sG","I really like that you brought humor into a topic that isn't always interesting to everyone. Great job!"
"7","kZZcIQoHLF","The slides were wordy, and she didn't speak that clearly. I had trouble hearing her.  | The presentation was good explaining what was measure and test was measure. However it was hard to hear her.   | There was a lot of text on the slides and she was reading straight off of them, and didn't seem knowledgeable of her topic. | Great presentation just a lot of words on slides.  | Interesting"
"8","dPHvdqgcsR","great presentation, just a lot of words on the slides.  | Great presentation, she explained a lot about Human Resources and her experience. | It was good presentation because it discusses the pros and the cons of the internships. I did learn a lot about tasks and job of human resources.   | She figured out what she wants to do in the future based on what she did for an internship.  | Good presentation. Could have made more eye contact with audience and used um a lot.  | Very calm, collected, and prepared. "
"9","g1Rtt8EjlP","slides were great, didnt use notes or read off slides, impressive | Limited text on slides, and just put the main points on the slides and then spoke about the points in more detail. Very knowledgebale on her internship and included good samples.  | It was a great presentation. she was very detail about the task that she did at the middle school and with the school counselor.  | She sounds like she has a lot of passion in this field of interest."
"10","XyWc3fGn8Z","Very knowledgeable on internship site. She talked about things that weren't on slides, which was interesting. Could use more samples.  | Very knowledgeable of her site and it shows, the presentation could have been a  bit more creative though. | Seemed very happy with her internship.  | Ester seem to be very knowledgeable on her internship and it was good that she gave a warning about blood.  "
"11","KAkVrFLYdY","Very interesting!  | Evelins voice was very clear and her slides were very aesthetic! Very cool research!"
"12","GpZb6stGJm","Other than filler words very good."
"13","exkWocbF06","Genevieve was very interactive with the audience! Her slides were very aesthetic! Her presentation was fantastic."
"14","mPOQErRbY9","I thought it was awesome how much you improved that child's grades :)"
"15","EPjG7PI6cv","Good presentation, but seemed nervous. Good knowledge on topic.  | Overall a great presentation! | She seemed nervous but kept her composure. Sometimes awkward silence but seemed like it was a great experience."
"16","LoL4ELFn1y","Ilysa's research was very interesting. Especially the differences in cultural perception on attractiveness."
"17","6nevBvt0XE","Spoken a little too fast but was good. | At some moments , you spoke to fast but great presentation  | was done well | Your powerpoint for this presentation as well as the samples you show look great! Very aesthetically pleasing and help keep attention."
"18","3jwEXVwBQp","I thought her overall internship was interesting and she was also extremely funny which added to the presentation. It was refeshing!"
"19","s6tltulSfJ","Jessica did a great job. It was really interesting that she was given the responsibility to rate and observe the behaviors in the kids she was watching. I think that is a valuable skill and or experience. | JESSICA WAS VERY INFORMATIVE!"
"20","5uhSt17KRQ","Great job, super knowledgeable and great loud clear voice! | Overall good presentation, knowledgebale and spoke well. | Seems like she had fun and learned to work with uncomfortable situations. She mentioned that working with kids needs patience and it improved it in a way. | It was good to talk about what your experience with the kids and if they were difficult situations "
"21","zueLL8HMon","Was very good overall, nothing really to comment on."
"22","e4eiIRRall","She was knowledgeable on the topic, but was looking down a lot and reading directly off her notecards.  | she did a good explaining what the research and terms. she did not assume that everyone new the terms that is in the research. She did a good job presenting her example and it was easy to understand.  | good presentation just long.  | Overall great presentation and kept the text and information easy to understand. | Interesting topic and seemed passionate about it. Maybe not use flashcards so often."
"23","iT5lpWQph9","text heavy but very informative and has gained a lot of experience.  | Overall the presentation was appealing creatively and it seemed like Kiana really enjoyed her internship. It connected with her on a personal level and it seemed like the experience had a positive impact on her. She did a great job answering questions from the class. | Thank you for sharing! "
"24","Xqyf1Xy8LX","She wasn't very professional in the presentation and went off topic. She also paused a lot when talking.   | It was good to share you experience in each of the slide. I think that it was good to add your experience with the IRB . It might seem as easy and there is a lot of people might be thinking that getting to get approval from the IRB.   | Interesting and very relatable. | Great presentation, I learned a lot about research."
"25","l8oRJ4JYsx","Overall the presentation was good but the internship wasn't talked about much, just stories. | She didn't talk about the internship as much, more of different stories of what happened. Good engagement with the class, and had good presentation skills. | She gave her opinion about what she didn't like about the school. But it was good for her to know this is definitely what she wants to do. | Started crying at one point - Very touching and informative | The presentation was interesting because presentation just focus on positive but, it was good that it focus also on the negatives "
"26","aWISIFgpi4","Great presentation, just a lot of words on each slide.  | I had trouble hearing her but she was knowledgeable. The slides were way too wordy and she talked longer then the allotted time. Otherwise, it was a good presentation. | It was kind of hard to hear her present & she had way too much text on the slides, and went over the allotted time, but otherwise good presentation. | Great and very knowledgeable | She did a good job explain PINS because nobody knew what that was. She presented what does PINS means and it was easy to translation into what AFY Program does and what she did. It was a easy translation. "
"27","1TIimBLXtk","Overall great job! | Overall she had a very good presentation, and was very knowledgeable on her internship site. | I like how there are a lot of visual. It help to get more a understand the internship and working in a school.   | She is passionate about this field of interest and works well with kids by helping them out. Very interesting! | awesome, creative, colorful slides"
"28","s8quF49lSv","Did a great job explaining his position in a clear way. It seemed like he enjoyed his internship and learned a lot of valuable information that he will take with him into the work field. Nice work!  | The presentation was well put together. It was very clean and neat. Nick was very clear spoken. | answered all the prompts and was very knowledgeable "
"29","hBVMoK2gvb","Great presentation and well spoken! | Great presentation. Included work samples, and went into good detail about internship, and seemed like she enjoyed the site she was at.  | It seemed like she had a great experience & great time and the presentation was super creative. | I love that she used advocacy for herself as a learning component."
"30","CojfbOWOUM","was done very well"
"31","zfazKvZjq7","Great presentation! | The formatting could have been a bit neater | Format was hard to read | Great work! | reading off slides, not dressed professional, um | She seems like she was able to explain what she coordinated for the program. Very involved and creative.  | The sample slide had a lot of information it made it a little  hard to follow. Good Job overall. "
"32","t6Dgiw4ODl","Sarah did a great job communicating her internship and what she did in a clear way regardless of being nervous. It was very interesting that she was able to contribute to the internship program and help build it up for the organization it seems like she contributed in a meaningful way."
"33","gTQE7WVaCK","Good presentation overall. Made interactions with class and was knowledegable on internship. | Overall great presentation! | Sarah did a good job explaining the work that was done during the internship and talking about the experience at the internship. It would be good to belief explanation about HIPAA and what it is. Good Job.  | She seems passionate about interning at her site. She set clear plans for the future and realized where she wants to study based on her interests. | Seems like heavy work, both emotionally and intellectually. Great job!"
